"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.483234460E-1,1.199718714E-1,1.519288570E-1,3.764267266E-1,4.232879729E-1
4.508499050E-1,1.263632625E-1,1.529940963E-1,3.774919510E-1,4.264681004E-1
4.533763630E-1,1.316894293E-1,1.540593207E-1,3.753614724E-1,4.265824832E-1
4.559028210E-1,1.338198930E-1,1.561897993E-1,3.742962480E-1,4.270839477E-1
4.584293320E-1,1.295589656E-1,1.529940963E-1,3.753614724E-1,4.255454782E-1
4.609557900E-1,1.284937263E-1,1.508636326E-1,3.742962480E-1,4.235187771E-1
4.634822480E-1,1.274285018E-1,1.487331539E-1,3.721657991E-1,4.205555329E-1
4.660087070E-1,1.263632625E-1,1.466026902E-1,3.689700961E-1,4.166520787E-1
4.685351650E-1,1.231675670E-1,1.423417628E-1,3.668396175E-1,4.123138755E-1
4.710616750E-1,1.199718714E-1,1.370155960E-1,3.668396175E-1,4.095580892E-1
4.735881340E-1,1.167761683E-1,1.295589656E-1,3.647091687E-1,4.042709200E-1
4.761145920E-1,1.114500016E-1,1.252980381E-1,3.593829870E-1,3.965814325E-1
4.787227690E-1,1.093195379E-1,1.167761683E-1,3.572525382E-1,3.914291902E-1
4.812492280E-1,1.103847697E-1,1.093195379E-1,3.572525382E-1,3.895701924E-1
4.837756860E-1,1.135804728E-1,1.071890742E-1,3.540568352E-1,3.869706241E-1
4.863021440E-1,1.061238423E-1,1.029281393E-1,3.519263566E-1,3.817180009E-1
4.888286550E-1,1.039933711E-1,1.039933711E-1,3.529915810E-1,3.824033194E-1
4.913551130E-1,1.071890742E-1,1.093195379E-1,3.540568352E-1,3.857414957E-1
4.938815710E-1,1.018629074E-1,1.125152409E-1,3.529915810E-1,3.842379309E-1
4.964080300E-1,1.029281393E-1,1.210371032E-1,3.497959077E-1,3.841892233E-1
4.989344880E-1,9.973244369E-2,1.316894293E-1,3.519263566E-1,3.887683456E-1
5.014609980E-1,1.029281393E-1,1.466026902E-1,3.529915810E-1,3.958403805E-1
5.039874570E-1,1.039933711E-1,1.615159512E-1,3.572525382E-1,4.056247031E-1
5.065139150E-1,1.050586104E-1,1.742987484E-1,3.583177626E-1,4.120788569E-1
5.091152170E-1,1.071890742E-1,1.934729517E-1,3.593829870E-1,4.219921942E-1
5.116416750E-1,1.146457046E-1,2.190385461E-1,3.636439145E-1,4.397253902E-1
5.141681340E-1,1.274285018E-1,2.414084375E-1,3.647091687E-1,4.555533278E-1
5.166945920E-1,1.434070021E-1,2.595174015E-1,3.636439145E-1,4.692033103E-1
5.192211030E-1,1.625811905E-1,2.776263654E-1,3.636439145E-1,4.855367533E-1
5.217475610E-1,1.817553788E-1,2.957353294E-1,3.636439145E-1,5.027238798E-1
5.242740190E-1,2.073209733E-1,3.063876629E-1,3.583177626E-1,5.150213636E-1
5.268004780E-1,2.232994735E-1,3.149095178E-1,3.593829870E-1,5.274341576E-1
5.293269360E-1,2.467346042E-1,3.181052208E-1,3.551220596E-1,5.368245278E-1
5.318534460E-1,2.691044807E-1,3.202356696E-1,3.487306535E-1,5.445926683E-1
5.343799050E-1,2.925396264E-1,3.159747422E-1,3.434045017E-1,5.507686651E-1
5.369063630E-1,3.117138147E-1,2.978657782E-1,3.412740231E-1,5.498704238E-1
5.395243320E-1,3.330184817E-1,2.797568142E-1,3.391435742E-1,5.515283748E-1
5.420507900E-1,3.489969671E-1,2.531259954E-1,3.348826170E-1,5.459102671E-1
5.445772480E-1,3.596493006E-1,2.201037705E-1,3.338173926E-1,5.377986062E-1
5.471037070E-1,3.713668585E-1,1.881467849E-1,3.295564651E-1,5.309614110E-1
5.496302170E-1,3.809539676E-1,1.497983932E-1,3.316869438E-1,5.268602402E-1
5.521566750E-1,3.894758224E-1,1.125152409E-1,3.316869438E-1,5.238008442E-1
5.546831340E-1,3.958672285E-1,7.203638554E-2,3.306216896E-1,5.207790367E-1
5.572095920E-1,3.916063011E-1,3.262276202E-2,3.284912407E-1,5.121779328E-1
5.597360500E-1,3.862801194E-1,-1.531272475E-2,3.242303133E-1,5.045513911E-1
5.622625610E-1,3.798887134E-1,-6.537867337E-2,3.189041317E-1,5.002895668E-1
5.647890190E-1,3.681711555E-1,-1.143793985E-1,3.167736828E-1,4.989771665E-1
5.673154780E-1,3.521926701E-1,-1.676410437E-1,3.103822768E-1,4.984780378E-1
5.699248000E-1,3.287575543E-1,-2.145113051E-1,2.954690158E-1,4.913232834E-1
5.724512590E-1,2.978657782E-1,-2.613815665E-1,2.880123854E-1,4.898933346E-1
5.749777170E-1,2.616478503E-1,-3.082517982E-1,2.762948275E-1,4.897117523E-1
5.775041750E-1,2.201037705E-1,-3.455349505E-1,2.603163123E-1,4.853912383E-1
5.800306860E-1,1.742987484E-1,-3.817528784E-1,2.454030514E-1,4.861460393E-1
5.825571440E-1,1.242327988E-1,-4.126446545E-1,2.304897904E-1,4.887074203E-1
5.850836030E-1,6.990591437E-2,-4.392754734E-1,2.166417688E-1,4.947559341E-1
5.876100610E-1,7.057168987E-3,-4.595148861E-1,1.964023411E-1,4.997775643E-1
5.901365190E-1,-6.218297780E-2,-4.797543287E-1,1.804238409E-1,5.163174421E-1
5.926630300E-1,-1.239664927E-1,-4.925371110E-1,1.655105799E-1,5.341855943E-1
5.951894880E-1,-1.857500076E-1,-4.967980385E-1,1.474016160E-1,5.504894120E-1
5.977159460E-1,-2.443378270E-1,-4.957328141E-1,1.292926520E-1,5.675989663E-1
6.003277170E-1,-2.933385372E-1,-4.808195531E-1,1.090532318E-1,5.736963896E-1
6.028541750E-1,-3.444697261E-1,-4.605801404E-1,9.200949967E-2,5.824596174E-1
6.053806340E-1,-3.881442845E-1,-4.392754734E-1,7.709623873E-2,5.912383251E-1
6.079070920E-1,-4.179708064E-1,-4.094489515E-1,6.537867337E-2,5.887464733E-1
6.104336030E-1,-4.435364008E-1,-3.828181326E-1,5.366111174E-2,5.883483462E-1
6.129600610E-1,-4.584496617E-1,-3.497959077E-1,4.407401755E-2,5.783388180E-1
6.154865190E-1,-4.659062922E-1,-3.093170524E-1,4.194355011E-2,5.608074299E-1
6.180129780E-1,-4.584496617E-1,-2.784252763E-1,4.194355011E-2,5.380111413E-1
6.205394360E-1,-4.477973282E-1,-2.443378270E-1,3.661738336E-2,5.114335281E-1
6.230658940E-1,-4.350145459E-1,-2.134460658E-1,4.300878197E-2,4.864633938E-1
6.255924050E-1,-4.126446545E-1,-1.814890802E-1,4.833494872E-2,4.533764048E-1
6.281188630E-1,-3.860138059E-1,-1.516625583E-1,5.259587988E-2,4.180604221E-1
6.307104780E-1,-3.615134656E-1,-1.239664927E-1,6.005251035E-2,3.868668778E-1
6.332369360E-1,-3.423392773E-1,-1.069227681E-1,6.857437640E-2,3.651453193E-1
6.357633940E-1,-3.231650591E-1,-8.987903595E-2,8.029194176E-2,3.449067880E-1
6.382898530E-1,-3.071865737E-1,-6.963960826E-2,8.987903595E-2,3.275538234E-1
6.408163630E-1,-2.922733128E-1,-5.046541616E-2,9.946613014E-2,3.128321573E-1
6.433428210E-1,-2.762948275E-1,-3.342168778E-2,1.122489274E-1,3.000927566E-1
6.458692800E-1,-2.720338702E-1,-1.531272475E-2,1.250317246E-1,2.997829852E-1
6.483957380E-1,-2.560553849E-1,8.122402243E-3,1.378145218E-1,2.909006290E-1
6.509221960E-1,-2.390116602E-1,2.729659714E-2,1.569887102E-1,2.872579556E-1
6.534487070E-1,-2.251636237E-1,5.179695413E-2,1.740324497E-1,2.892557267E-1
6.559751650E-1,-2.134460658E-1,7.736254483E-2,1.900109351E-1,2.960546264E-1
6.585016230E-1,-1.910761744E-1,9.653674066E-2,2.027937323E-1,2.948808990E-1
6.611284980E-1,-1.655105799E-1,1.167761683E-1,2.209026963E-1,2.997139082E-1
6.636549570E-1,-1.410102248E-1,1.423417628E-1,2.358159572E-1,3.094417984E-1
6.661814150E-1,-1.037270650E-1,1.732335240E-1,2.507292330E-1,3.219228264E-1
6.687078730E-1,-6.537867337E-2,2.030600458E-1,2.667077184E-1,3.415271002E-1
6.712343840E-1,-2.276935615E-2,2.328865677E-1,2.848166823E-1,3.686124517E-1
6.737608420E-1,2.410089783E-2,2.669740319E-1,2.965342402E-1,3.997355909E-1
6.762873000E-1,8.055824786E-2,3.106485903E-1,3.071865737E-1,4.442474187E-1
6.788137590E-1,1.327546686E-1,3.489969671E-1,3.274259865E-1,4.966190308E-1
6.813402170E-1,1.881467849E-1,3.905410469E-1,3.434045017E-1,5.530354181E-1
6.838666750E-1,2.424736619E-1,4.310199022E-1,3.583177626E-1,6.107071736E-1
6.863931860E-1,3.021267056E-1,4.672378302E-1,3.753614724E-1,6.711840069E-1
6.889196440E-1,3.553883731E-1,4.981296062E-1,3.945356905E-1,7.280744546E-1
6.915467800E-1,4.065195620E-1,5.215647221E-1,4.094489515E-1,7.777765473E-1
6.940732380E-1,4.523245692E-1,5.418041348E-1,4.243622124E-1,8.235487380E-1
6.965996960E-1,5.002600551E-1,5.556522012E-1,4.414059222E-1,8.682445966E-1
6.991261550E-1,5.428693891E-1,5.652392507E-1,4.573844373E-1,9.074156201E-1
7.016526650E-1,5.833482146E-1,5.695002079E-1,4.765586257E-1,9.443165518E-1
7.041791230E-1,6.302185059E-1,5.695002079E-1,4.904066622E-1,9.808183044E-1
7.067055820E-1,6.664364338E-1,5.577826500E-1,4.967980385E-1,1.001033114E0
7.092320400E-1,7.037195563E-1,5.418041348E-1,5.074504018E-1,1.022877727E0
7.117584980E-1,7.378070354E-1,5.194342732E-1,5.170374513E-1,1.039951399E0
7.142850090E-1,7.761554122E-1,4.917382002E-1,5.244941115E-1,1.057978145E0
7.168114670E-1,8.091776371E-1,4.576507509E-1,5.298202634E-1,1.070010360E0
7.193379250E-1,8.421998620E-1,4.161066413E-1,5.383421183E-1,1.082708447E0
7.219277690E-1,8.752220869E-1,3.777582645E-1,5.426030755E-1,1.096874243E0
7.244542280E-1,9.018529058E-1,3.372794092E-1,5.426030755E-1,1.105221318E0
7.269806860E-1,9.242228270E-1,2.936048508E-1,5.404726267E-1,1.110181203E0
