Time (s),x,y,z
1.654694696285956e+18,15.67500019,34.65000153,-22.95000076
1.654694696295956e+18,15.90000057,34.72500229,-22.95000076
1.654694696305956e+18,16.125,34.72500229,-22.80000114
1.654694696315956e+18,16.125,34.875,-22.57500076
1.654694696325956e+18,16.05000114,35.02500153,-22.35000038
1.654694696335956e+18,15.97500038,34.95000076,-22.05000114
1.6546946963459564e+18,16.125,34.95000076,-21.60000038
1.6546946963559562e+18,16.125,34.95000076,-21.30000114
1.6546946963659564e+18,16.125,35.10000229,-21.30000114
1.6546946963759562e+18,15.90000057,35.25,-21.22500038
1.6546946963859564e+18,15.67500019,35.47500229,-21.15000153
1.6546946963959562e+18,15.52500057,35.47500229,-21.0
1.6546946964059564e+18,15.30000019,35.625,-20.92500114
1.6546946964159562e+18,15.15000057,36.07500076,-20.70000076
1.6546946964259564e+18,15.07500076,36.30000305,-20.47500038
1.6546946964359562e+18,14.85000038,36.52500153,-20.47500038
1.6546946964459564e+18,14.70000076,36.52500153,-20.25
1.6546946964559562e+18,14.47500038,36.45000076,-20.10000038
1.6546946964659564e+18,14.47500038,36.45000076,-19.875
1.6546946964759562e+18,14.47500038,36.60000229,-19.80000114
1.6546946964859564e+18,14.25000095,36.82500076,-19.80000114
1.6546946964959562e+18,14.17500019,36.67500305,-20.02500153
1.654694696505956e+18,14.10000038,36.67500305,-20.10000038
1.654694696515956e+18,14.17500019,36.75,-20.02500153
1.654694696525956e+18,14.02500057,36.90000153,-19.95000076
1.654694696535956e+18,14.10000038,37.27500153,-19.80000114
1.654694696545956e+18,14.02500057,37.5,-19.5
1.654694696555956e+18,13.95000076,37.5,-19.42500114
1.654694696565956e+18,14.02500057,37.5,-19.125
1.654694696575956e+18,14.17500019,37.57500076,-18.45000076
1.654694696585956e+18,14.10000038,37.95000076,-18.22500038
1.6546946965959562e+18,13.87500095,38.17500305,-17.625
1.6546946966059564e+18,13.95000076,38.40000153,-17.40000153
1.6546946966159562e+18,13.95000076,38.55000305,-16.65000153
1.6546946966259564e+18,13.87500095,38.625,-16.35000038
1.6546946966359562e+18,14.02500057,38.92500305,-15.52500057
1.6546946966459564e+18,13.95000076,39.07500076,-14.92500019
1.6546946966559562e+18,13.80000019,39.30000305,-14.62500095
1.6546946966659564e+18,13.72500038,39.45000076,-14.02500057
1.6546946966759562e+18,13.80000019,39.67500305,-13.80000019
1.6546946966859564e+18,13.72500038,39.97500229,-13.20000076
1.6546946966959562e+18,13.50000095,39.97500229,-13.12500095
