"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.055152730E-1,-2.663082560E-4,1.065233024E-3,2.263620263E-3,2.515873243E-3
4.080689190E-1,-2.663082560E-4,2.130466048E-3,3.328853287E-3,3.961195511E-3
4.106014710E-1,-2.663082560E-4,1.065233024E-3,3.328853287E-3,3.505268276E-3
4.131178250E-1,7.989247679E-4,3.195699072E-3,1.331541280E-4,3.296741325E-3
4.156684500E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
4.181992310E-1,-2.663082560E-4,-2.130466048E-3,1.198387123E-3,2.458848788E-3
4.207147520E-1,1.864157850E-3,1.065233024E-3,1.331541280E-4,2.151170822E-3
4.232444400E-1,1.864157850E-3,-1.065233024E-3,1.198387123E-3,2.458848832E-3
4.258007420E-1,-2.663082560E-4,1.065233024E-3,4.394086078E-3,4.529197936E-3
4.283151170E-1,-2.663082560E-4,1.065233024E-3,2.263620263E-3,2.515873243E-3
4.308697520E-1,7.989247679E-4,4.260932095E-3,1.331541280E-4,4.337228738E-3
4.334018360E-1,-1.331541222E-3,3.195699072E-3,2.263620263E-3,4.136359665E-3
4.359117830E-1,7.989247679E-4,-2.130466048E-3,2.263620263E-3,3.209539384E-3
4.384691790E-1,-3.462007269E-3,1.065233024E-3,1.198387123E-3,3.815278158E-3
4.409802210E-1,-2.396774245E-3,1.065233024E-3,1.331541280E-4,2.626209855E-3
4.435356380E-1,-1.331541222E-3,1.065233024E-3,-9.320789250E-4,1.943320494E-3
4.460684500E-1,-4.527240526E-3,3.195699072E-3,-9.320789250E-4,5.619356765E-3
4.485771480E-1,-2.396774245E-3,2.130466048E-3,3.328853287E-3,4.622193913E-3
4.511367830E-1,-2.663082560E-4,-2.130466048E-3,1.331541280E-4,2.151170772E-3
4.536500650E-1,-2.663082560E-4,0.000000000E0,2.263620263E-3,2.279231621E-3
4.561780860E-1,-2.396774245E-3,-1.065233024E-3,2.263620263E-3,3.464567054E-3
4.587345440E-1,-2.396774245E-3,0.000000000E0,3.328853287E-3,4.101925278E-3
4.612451170E-1,1.864157850E-3,1.065233024E-3,1.331541280E-4,2.151170822E-3
4.637801170E-1,1.864157850E-3,2.130466048E-3,-9.320789250E-4,2.980392792E-3
4.663110540E-1,-1.331541222E-3,0.000000000E0,-9.320789250E-4,1.625353238E-3
4.688438670E-1,-2.663082560E-4,0.000000000E0,-9.320789250E-4,9.693767119E-4
4.713772520E-1,1.864157850E-3,1.065233024E-3,1.198387123E-3,2.458848832E-3
4.739122000E-1,-3.462007269E-3,2.130466048E-3,2.263620263E-3,4.652779450E-3
4.764435540E-1,-1.331541222E-3,3.195699072E-3,3.328853287E-3,4.802786565E-3
4.789789710E-1,-1.331541222E-3,1.065233024E-3,2.263620263E-3,2.834025426E-3
4.815123560E-1,-2.396774245E-3,-1.065233024E-3,1.198387123E-3,2.883640039E-3
4.840467830E-1,-3.462007269E-3,0.000000000E0,3.328853287E-3,4.802786539E-3
4.865801170E-1,-1.331541222E-3,1.065233024E-3,3.328853287E-3,3.740185507E-3
4.891124610E-1,-3.462007269E-3,0.000000000E0,3.328853287E-3,4.802786539E-3
4.916458980E-1,-2.663082560E-4,-1.065233024E-3,1.198387123E-3,1.625353247E-3
4.941816790E-1,-3.462007269E-3,2.130466048E-3,1.331541280E-4,4.067199274E-3
4.967118360E-1,-4.527240526E-3,3.195699072E-3,-9.320789250E-4,5.619356765E-3
4.992462630E-1,-2.663082560E-4,-1.065233024E-3,-1.997311832E-3,2.279231458E-3
5.017782940E-1,-5.592473317E-3,2.130466048E-3,1.331541280E-4,5.986014818E-3
5.043119400E-1,-2.396774245E-3,-1.065233024E-3,-9.320789250E-4,2.783526415E-3
5.068450650E-1,-1.331541222E-3,-1.065233024E-3,3.328853287E-3,3.740185507E-3
5.093781900E-1,-2.663082560E-4,0.000000000E0,3.328853287E-3,3.339488627E-3
5.119123560E-1,-2.396774245E-3,-2.130466048E-3,-9.320789250E-4,3.339488507E-3
5.144418360E-1,-2.663082560E-4,1.065233024E-3,-9.320789250E-4,1.440282127E-3
5.169775130E-1,6.125089712E-3,2.130466048E-3,1.331541280E-4,6.486396502E-3
5.195127210E-1,1.864157850E-3,3.195699072E-3,1.331541280E-4,3.702067945E-3
5.220458460E-1,-1.331541222E-3,0.000000000E0,-1.997311832E-3,2.400470075E-3
5.245789190E-1,-2.663082560E-4,-1.065233024E-3,1.198387123E-3,1.625353247E-3
5.271123040E-1,1.864157850E-3,0.000000000E0,1.198387123E-3,2.216126392E-3
5.296462630E-1,-1.331541222E-3,1.065233024E-3,-3.062544856E-3,3.505268095E-3
5.321785540E-1,7.989247679E-4,1.065233024E-3,-1.997311832E-3,2.400470107E-3
5.347135540E-1,1.864157850E-3,-2.130466048E-3,1.198387123E-3,3.074101782E-3
5.372455330E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
5.397791790E-1,7.989247679E-4,0.000000000E0,1.198387123E-3,1.440282084E-3
5.423117830E-1,7.989247679E-4,0.000000000E0,-1.997311832E-3,2.151170691E-3
5.448461580E-1,-2.663082560E-4,-2.130466048E-3,-3.062544856E-3,3.740185378E-3
5.473782420E-1,-2.396774245E-3,1.065233024E-3,-9.320789250E-4,2.783526415E-3
5.499134500E-1,2.929390874E-3,-2.130466048E-3,1.198387123E-3,3.815278256E-3
5.524457940E-1,-1.331541222E-3,-1.065233024E-3,1.198387123E-3,2.084191718E-3
5.549794920E-1,-1.331541222E-3,1.065233024E-3,1.331541280E-4,1.710395697E-3
5.575126170E-1,1.864157850E-3,-1.065233024E-3,2.263620263E-3,3.119901053E-3
5.600465230E-1,-2.663082560E-4,-1.065233024E-3,1.331541280E-4,1.106061257E-3
5.625798560E-1,-5.592473317E-3,1.065233024E-3,1.331541280E-4,5.694577176E-3
5.651070960E-1,-2.663082560E-4,1.065233024E-3,1.331541280E-4,1.106061257E-3
5.676468880E-1,2.929390874E-3,1.065233024E-3,-9.320789250E-4,3.253432558E-3
5.701792830E-1,-2.663082560E-4,0.000000000E0,1.198387123E-3,1.227620374E-3
5.727125650E-1,-2.396774245E-3,0.000000000E0,1.198387123E-3,2.679675070E-3
5.752500130E-1,-2.663082560E-4,2.130466048E-3,1.331541280E-4,2.151170772E-3
5.777793360E-1,7.989247679E-4,4.260932095E-3,1.331541280E-4,4.337228738E-3
5.803121480E-1,-2.663082560E-4,1.065233024E-3,1.198387123E-3,1.625353247E-3
5.828468880E-1,7.989247679E-4,0.000000000E0,-9.320789250E-4,1.227620425E-3
5.853797000E-1,7.989247679E-4,3.195699072E-3,1.198387123E-3,3.505268183E-3
