"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.095955267E0,6.975000381E0,-2.647500038E1,-2.135250092E2
3.105955267E0,6.900000095E0,-2.655000114E1,-2.138250122E2
3.115955267E0,6.900000095E0,-2.662500191E1,-2.136750031E2
3.125955267E0,6.975000381E0,-2.662500191E1,-2.137500153E2
3.135955267E0,6.675000191E0,-2.670000076E1,-2.136750031E2
3.145955267E0,6.900000095E0,-2.662500191E1,-2.138250122E2
3.155955267E0,6.900000095E0,-2.662500191E1,-2.137500153E2
3.165955267E0,6.975000381E0,-2.647500038E1,-2.136000061E2
3.175955267E0,6.975000381E0,-2.655000114E1,-2.136000061E2
3.185955267E0,6.975000381E0,-2.662500191E1,-2.133750153E2
3.195955267E0,6.975000381E0,-2.647500038E1,-2.130750122E2
3.205955267E0,7.125000477E0,-2.640000153E1,-2.130000153E2
3.215955267E0,7.275000095E0,-2.640000153E1,-2.132250061E2
3.225955267E0,7.350000381E0,-2.655000114E1,-2.133750153E2
3.235955267E0,7.500000477E0,-2.655000114E1,-2.135250092E2
3.245955267E0,7.350000381E0,-2.647500038E1,-2.135250092E2
3.255955267E0,7.200000286E0,-2.662500191E1,-2.134500122E2
3.265955267E0,7.200000286E0,-2.655000114E1,-2.133750153E2
3.275955267E0,7.200000286E0,-2.662500191E1,-2.136000061E2
3.285955267E0,7.050000191E0,-2.670000076E1,-2.137500153E2
3.295955267E0,7.200000286E0,-2.662500191E1,-2.135250092E2
3.305955267E0,7.050000191E0,-2.647500038E1,-2.133000031E2
3.315955267E0,6.900000095E0,-2.670000076E1,-2.132250061E2
3.325955267E0,6.975000381E0,-2.692500114E1,-2.133000031E2
3.335955267E0,7.200000286E0,-2.685000038E1,-2.135250092E2
3.345955267E0,7.275000095E0,-2.685000038E1,-2.134500122E2
3.355955267E0,7.200000286E0,-2.685000038E1,-2.134500122E2
3.365955267E0,7.275000095E0,-2.677500153E1,-2.132250061E2
3.375955267E0,7.125000477E0,-2.685000038E1,-2.134500122E2
